gen	nevals	avg     	std     	min     	max     
0  	512   	0.545814	0.093101	0.233083	0.786532
1  	446   	0.444542	0.0796962	0.233083	0.639425
2  	424   	0.376378	0.0803229	0.20595 	0.563256
3  	440   	0.329344	0.0773254	0.159693	0.531383
4  	431   	0.291606	0.0729505	0.0998692	0.483164
5  	441   	0.26077 	0.0718853	0.0993789	0.468944
6  	429   	0.237698	0.0754779	0.0897352	0.44933 
7  	427   	0.208683	0.0684665	0.0846682	0.387708
8  	427   	0.194731	0.0657431	0.0756783	0.366787
9  	434   	0.183646	0.0663472	0.0732265	0.370546
10 	425   	0.177795	0.0684961	0.0650539	0.363027
11 	417   	0.169488	0.0707418	0.0637463	0.363191
12 	434   	0.159635	0.0623043	0.0637463	0.323799
13 	435   	0.159222	0.0665727	0.0637463	0.344557
14 	434   	0.15128 	0.061845 	0.0609676	0.342759
15 	418   	0.144896	0.0629425	0.0601504	0.31154 
16 	419   	0.146771	0.0636497	0.0601504	0.305492
17 	438   	0.148079	0.0646355	0.0594966	0.298627
18 	433   	0.142321	0.0659795	0.0594966	0.323308
19 	425   	0.133531	0.0586336	0.0573717	0.299117
20 	429   	0.138629	0.0613791	0.0573717	0.305982
21 	421   	0.141901	0.0646996	0.0572082	0.322001
22 	435   	0.145664	0.0631045	0.0572082	0.301079
23 	424   	0.142608	0.0642461	0.0572082	0.308271
24 	430   	0.140908	0.063758 	0.0567179	0.30255 
25 	410   	0.133917	0.0651105	0.056391 	0.306963
26 	428   	0.133743	0.0614544	0.056391 	0.301406
27 	418   	0.130311	0.0584418	0.056391 	0.275744
28 	407   	0.124393	0.0592857	0.056391 	0.287676
29 	428   	0.122829	0.0529818	0.056391 	0.257927
30 	421   	0.122014	0.053863 	0.0562275	0.255149
31 	431   	0.1233  	0.0549029	0.0560641	0.292252
32 	423   	0.118326	0.0506952	0.0560641	0.253187
33 	423   	0.118932	0.0502949	0.0560641	0.250572
34 	414   	0.117739	0.0502404	0.0560641	0.254658
35 	425   	0.117875	0.051908 	0.0557372	0.260706
36 	425   	0.114122	0.0499833	0.0557372	0.249264
37 	423   	0.112867	0.0506521	0.0555737	0.262994
38 	420   	0.107816	0.0471105	0.0555737	0.249755
39 	451   	0.115538	0.048288 	0.0555737	0.229814
40 	411   	0.109855	0.0502767	0.0554103	0.266917
41 	427   	0.109661	0.0483716	0.0554103	0.254005
42 	428   	0.110122	0.0488714	0.0554103	0.238804
43 	435   	0.112666	0.0480822	0.0554103	0.246486
44 	429   	0.111296	0.0510853	0.0554103	0.256783
45 	427   	0.111982	0.0469488	0.0554103	0.231939
46 	428   	0.109615	0.0467981	0.0554103	0.248938
47 	435   	0.111985	0.0491239	0.0554103	0.242236
48 	424   	0.113819	0.0512708	0.0552468	0.249591
49 	433   	0.109867	0.0477875	0.0552468	0.23439 
50 	441   	0.106373	0.0458068	0.0552468	0.248447
Loss of the best individual 0.05525
Loss: 0.05133, f1-score: 0.00554, acc: 0.46130
