gen	nevals	avg     	std      	min     	max     
0  	512   	0.544234	0.0938963	0.267408	0.801569
1  	419   	0.437024	0.0853793	0.209055	0.645472
2  	434   	0.364119	0.0754944	0.157077	0.579274
3  	446   	0.324645	0.0749381	0.139261	0.510951
4  	446   	0.293854	0.0769107	0.120628	0.481203
5  	420   	0.239217	0.0690001	0.0890814	0.450801
6  	427   	0.205133	0.062907 	0.0684864	0.375123
7  	429   	0.18074 	0.0584037	0.0684864	0.363354
8  	412   	0.164562	0.0622698	0.0675057	0.351422
9  	430   	0.14757 	0.0562404	0.0648905	0.310232
10 	437   	0.142369	0.056458 	0.0648905	0.308924
11 	450   	0.13674 	0.0529338	0.0627656	0.27983 
12 	422   	0.12851 	0.054743 	0.0616214	0.27983 
13 	429   	0.12278 	0.0520695	0.0616214	0.283916
14 	406   	0.117441	0.0487014	0.0609676	0.252534
15 	440   	0.115485	0.0495804	0.0604773	0.253024
16 	425   	0.113782	0.0452312	0.0604773	0.241909
17 	426   	0.111679	0.0449741	0.0591697	0.256129
18 	406   	0.111811	0.0484819	0.0591697	0.259725
19 	437   	0.111667	0.0472077	0.0591697	0.241582
20 	421   	0.108731	0.0437203	0.0591697	0.229323
21 	456   	0.114356	0.0451631	0.0591697	0.253678
22 	424   	0.111175	0.046262 	0.0591697	0.257601
23 	442   	0.112131	0.0443105	0.0590062	0.246976
24 	431   	0.109548	0.0462301	0.0588428	0.244688
25 	418   	0.107302	0.0429962	0.0585159	0.242399
26 	440   	0.111755	0.047904 	0.058189 	0.239294
27 	414   	0.106756	0.0448323	0.0580255	0.272802
28 	420   	0.104474	0.0438417	0.0580255	0.233737
29 	434   	0.105265	0.0407804	0.057862 	0.217718
30 	448   	0.108043	0.0414993	0.057862 	0.231939
31 	418   	0.108924	0.0456573	0.0576986	0.256293
32 	435   	0.106787	0.0463339	0.0573717	0.243544
33 	437   	0.107725	0.0456647	0.0573717	0.24812 
34 	439   	0.10837 	0.04465  	0.0573717	0.243871
35 	431   	0.106043	0.0441585	0.0573717	0.233573
36 	432   	0.10485 	0.0443786	0.0573717	0.236352
37 	421   	0.102089	0.0426191	0.0572082	0.226545
38 	429   	0.104422	0.0426051	0.0568813	0.232429
39 	417   	0.102613	0.0404232	0.0568813	0.205786
40 	419   	0.105344	0.0447205	0.0568813	0.231939
41 	430   	0.100317	0.0417108	0.0568813	0.233246
42 	450   	0.0964486	0.0365766	0.0568813	0.204479
43 	423   	0.0980773	0.0405409	0.0565544	0.217391
44 	421   	0.0919919	0.0362852	0.0565544	0.206113
45 	417   	0.0922093	0.0394478	0.0565544	0.235371
46 	435   	0.0942072	0.0355495	0.0565544	0.208565
47 	448   	0.0959604	0.0385381	0.056391 	0.213468
48 	436   	0.0952386	0.0403698	0.056391 	0.221314
49 	443   	0.0945682	0.0380298	0.056391 	0.220333
50 	431   	0.0923552	0.0369134	0.0557372	0.204479
Loss of the best individual 0.05574
Loss: 0.05002, f1-score: 0.07509, acc: 0.47368
