gen	nevals	avg    	std      	min     	max    
0  	512   	0.54627	0.0904658	0.293397	0.88542
1  	436   	0.453373	0.0724458	0.284734	0.634848
2  	411   	0.393178	0.0727292	0.183884	0.594966
3  	429   	0.353503	0.0744521	0.169827	0.566198
4  	437   	0.314718	0.0760042	0.168683	0.516182
5  	414   	0.266463	0.0686001	0.110167	0.46306 
6  	422   	0.232273	0.0668265	0.092187	0.428735
7  	437   	0.212855	0.0625756	0.092187	0.391141
8  	440   	0.203991	0.065282 	0.0810722	0.389179
9  	434   	0.189117	0.0645494	0.0679961	0.36646 
10 	441   	0.177607	0.0635223	0.0679961	0.361883
11 	420   	0.172774	0.0662137	0.0657077	0.340144
12 	420   	0.168018	0.0676963	0.0626022	0.345538
13 	435   	0.153033	0.0615617	0.0626022	0.312194
14 	429   	0.144905	0.0622228	0.0626022	0.324452
15 	406   	0.13388 	0.0593549	0.0626022	0.310396
16 	413   	0.128705	0.0552156	0.0609676	0.289801
17 	431   	0.123654	0.0539055	0.0606407	0.286368
18 	433   	0.124774	0.0528884	0.0599869	0.265937
19 	418   	0.118074	0.0486314	0.0599869	0.249264
20 	415   	0.116211	0.0499802	0.0599869	0.249918
21 	415   	0.115958	0.0526408	0.0599869	0.264792
22 	430   	0.115408	0.0502665	0.0599869	0.254168
23 	428   	0.112177	0.0472065	0.0593331	0.244524
24 	432   	0.112867	0.0494576	0.0593331	0.267408
25 	417   	0.110668	0.047605 	0.0585159	0.237169
26 	442   	0.117556	0.051639 	0.0585159	0.272148
27 	415   	0.111723	0.0481144	0.0585159	0.250736
28 	430   	0.109373	0.0438891	0.0583524	0.233737
29 	414   	0.109945	0.0476289	0.0583524	0.238967
30 	434   	0.115148	0.0477621	0.0573717	0.257601
31 	430   	0.111998	0.0478146	0.0573717	0.243544
32 	422   	0.107757	0.0471535	0.0573717	0.244034
33 	432   	0.11087 	0.0472934	0.0573717	0.247793
34 	432   	0.111565	0.0472447	0.0572082	0.254331
35 	433   	0.107667	0.0471189	0.0572082	0.247303
36 	423   	0.109521	0.0480555	0.0572082	0.241092
37 	422   	0.111636	0.0505906	0.0572082	0.265119
38 	423   	0.110801	0.0483309	0.0560641	0.245178
39 	441   	0.115726	0.0491213	0.0560641	0.24812 
40 	424   	0.104666	0.0448931	0.0560641	0.246649
41 	427   	0.111512	0.049669 	0.0560641	0.25188 
42 	435   	0.111588	0.0488168	0.0560641	0.253024
43 	430   	0.114935	0.0523253	0.0560641	0.272475
44 	442   	0.119353	0.0555593	0.0560641	0.290291
45 	429   	0.120337	0.0548199	0.0560641	0.255639
46 	446   	0.126155	0.0559049	0.0555737	0.289964
47 	418   	0.118318	0.0541623	0.0555737	0.277542
48 	427   	0.123269	0.0551107	0.0555737	0.281138
49 	426   	0.126269	0.0605954	0.0555737	0.290127
50 	441   	0.125524	0.0547554	0.0555737	0.291762
Loss of the best individual 0.05557
Loss: 0.05133, f1-score: 0.05236, acc: 0.47368
