gen	nevals	avg     	std      	min     	max    
0  	512   	0.538841	0.0964326	0.232919	0.82151
1  	415   	0.437139	0.0774143	0.232919	0.623079
2  	410   	0.375836	0.0690995	0.21592 	0.556064
3  	459   	0.339449	0.0664896	0.177182	0.515038
4  	435   	0.307747	0.0682681	0.157568	0.470088
5  	432   	0.281644	0.0685307	0.142367	0.460281
6  	451   	0.260042	0.0650731	0.106244	0.414841
7  	421   	0.240809	0.0682209	0.106244	0.43184 
8  	433   	0.228597	0.0662188	0.101994	0.388853
9  	421   	0.214597	0.0660029	0.0830337	0.410265
10 	423   	0.19921 	0.0660891	0.0830337	0.380843
11 	450   	0.188563	0.0657298	0.0809088	0.348153
12 	442   	0.176088	0.0621104	0.0712651	0.337038
13 	430   	0.169997	0.0630737	0.0684864	0.331971
14 	439   	0.162303	0.0630125	0.0661981	0.332462
15 	426   	0.152531	0.0609042	0.063256 	0.315626
16 	431   	0.152178	0.0611925	0.063256 	0.311213
17 	427   	0.140378	0.0557398	0.0629291	0.289964
18 	421   	0.141441	0.061062 	0.0629291	0.29356 
19 	433   	0.135952	0.0571971	0.0603138	0.299117
20 	445   	0.138178	0.0544799	0.0603138	0.294377
21 	437   	0.138202	0.0576401	0.0583524	0.296339
22 	429   	0.128844	0.0543846	0.0583524	0.287349
23 	436   	0.12565 	0.0534401	0.057862 	0.27934 
24 	429   	0.119064	0.0499357	0.0573717	0.287349
25 	423   	0.116685	0.0460927	0.0573717	0.253024
26 	431   	0.120767	0.0516162	0.0573717	0.2746  
27 	436   	0.111591	0.0473905	0.0570448	0.250409
28 	408   	0.105089	0.0431568	0.0570448	0.226218
29 	434   	0.111615	0.046774 	0.0570448	0.241582
30 	434   	0.110047	0.0465427	0.0567179	0.246486
31 	433   	0.105532	0.0433144	0.0567179	0.213142
32 	434   	0.10706 	0.0423666	0.0567179	0.230141
33 	437   	0.106938	0.0426296	0.0567179	0.231448
34 	421   	0.105744	0.0473049	0.0567179	0.249755
35 	420   	0.103315	0.0422886	0.0567179	0.22965 
36 	438   	0.110305	0.0467312	0.056391 	0.244361
37 	432   	0.104809	0.0442322	0.056391 	0.244034
38 	440   	0.110192	0.0449692	0.0560641	0.234227
39 	433   	0.113093	0.0480825	0.0560641	0.253024
40 	439   	0.114317	0.0466445	0.0560641	0.254658
41 	424   	0.106024	0.0426874	0.0560641	0.227689
42 	440   	0.109949	0.0437427	0.0560641	0.247957
43 	435   	0.113462	0.0473984	0.0560641	0.23815 
44 	427   	0.113045	0.0471012	0.0560641	0.230958
45 	430   	0.112437	0.0498955	0.0559006	0.240438
46 	441   	0.110868	0.0449069	0.0555737	0.231448
47 	427   	0.107799	0.0467097	0.0555737	0.241582
48 	429   	0.110337	0.046699 	0.0555737	0.2339  
49 	435   	0.111186	0.0458076	0.0555737	0.248284
50 	440   	0.114798	0.0478835	0.0555737	0.255149
Loss of the best individual 0.05557
Loss: 0.05214, f1-score: 0.00685, acc: 0.47059
