gen	nevals	avg     	std     	min     	max    
0  	512   	0.538719	0.090546	0.309088	0.79307
1  	456   	0.443017	0.0760523	0.228669	0.615561
2  	431   	0.372414	0.0765177	0.182086	0.579438
3  	442   	0.328585	0.0714507	0.140242	0.520922
4  	432   	0.292357	0.0733291	0.105263	0.497548
5  	445   	0.26166 	0.0742628	0.0867931	0.442628
6  	423   	0.229639	0.0706937	0.0743707	0.405034
7  	426   	0.216619	0.0734826	0.0720824	0.401765
8  	442   	0.20201 	0.0742842	0.0670154	0.42187 
9  	415   	0.183125	0.0732584	0.0657077	0.383132
10 	431   	0.177409	0.0701742	0.0657077	0.373652
11 	425   	0.173844	0.0716212	0.0657077	0.368421
12 	434   	0.165538	0.0662908	0.0650539	0.356653
13 	413   	0.160173	0.0678938	0.0650539	0.345538
14 	427   	0.15725 	0.063583 	0.0619483	0.310232
15 	407   	0.150014	0.0641185	0.0619483	0.300262
16 	421   	0.148005	0.0616539	0.0598235	0.310722
17 	422   	0.144211	0.0582207	0.0598235	0.292416
18 	438   	0.145052	0.0610777	0.0598235	0.312194
19 	434   	0.140785	0.0578297	0.0598235	0.309578
20 	444   	0.143608	0.0572917	0.0598235	0.308924
21 	433   	0.144136	0.0639744	0.0585159	0.334423
22 	450   	0.145221	0.0598024	0.0585159	0.30304 
23 	431   	0.139948	0.0585712	0.0585159	0.303531
24 	440   	0.137758	0.0556413	0.0585159	0.29307 
25 	432   	0.138273	0.0604717	0.0585159	0.300098
26 	441   	0.138518	0.0579786	0.0585159	0.288656
27 	423   	0.129706	0.0551992	0.0568813	0.268061
28 	442   	0.130776	0.054605 	0.0568813	0.301896
29 	427   	0.119379	0.0513581	0.0562275	0.280974
30 	445   	0.122347	0.0512416	0.0562275	0.253024
31 	441   	0.115692	0.0496378	0.0562275	0.273292
32 	429   	0.113115	0.0497072	0.0560641	0.267735
33 	450   	0.116314	0.0487261	0.0560641	0.241419
34 	423   	0.117268	0.0529364	0.0559006	0.274926
35 	427   	0.117454	0.0551032	0.0559006	0.28506 
36 	449   	0.117189	0.0529455	0.0555737	0.295358
37 	424   	0.112884	0.0509714	0.0550834	0.263485
38 	438   	0.116459	0.0498444	0.0550834	0.249101
39 	447   	0.112728	0.0481917	0.0550834	0.264629
40 	430   	0.107724	0.0450034	0.0550834	0.253351
41 	418   	0.106456	0.0483105	0.0547565	0.242073
42 	442   	0.104915	0.0448832	0.0547565	0.239948
43 	425   	0.0954078	0.0380023	0.0547565	0.222785
44 	432   	0.0976179	0.0410007	0.054593 	0.246976
45 	441   	0.101616 	0.0443571	0.054593 	0.240928
46 	448   	0.102859 	0.0435757	0.054593 	0.231939
47 	435   	0.101475 	0.0442493	0.0544296	0.229977
48 	423   	0.101105 	0.0446187	0.0542661	0.226872
49 	423   	0.0966819	0.0425519	0.0542661	0.228833
50 	425   	0.0945778	0.0399073	0.0541026	0.222622
Loss of the best individual 0.05410
Loss: 0.05051, f1-score: 0.01170, acc: 0.46440
