gen	nevals	avg     	std      	min     	max    
0  	512   	0.555743	0.0685161	0.365729	0.70162
1  	429   	0.484999	0.0555564	0.323956	0.627451
2  	430   	0.445287	0.0597713	0.312447	0.615942
3  	436   	0.412383	0.0616584	0.296249	0.57971 
4  	434   	0.384781	0.0582863	0.288576	0.543052
5  	420   	0.364286	0.0538444	0.276641	0.517903
6  	424   	0.367227	0.0625326	0.276641	0.539642
7  	461   	0.358299	0.0593262	0.275362	0.512361
8  	443   	0.350229	0.0573752	0.270673	0.506394
9  	430   	0.347004	0.0580168	0.270673	0.50341 
10 	431   	0.340658	0.0579255	0.270247	0.494032
11 	407   	0.333681	0.0603672	0.26769 	0.508951
12 	425   	0.327665	0.0509551	0.254902	0.47613 
13 	403   	0.323782	0.0533023	0.254049	0.488065
14 	431   	0.320977	0.0513169	0.254049	0.471867
15 	429   	0.32168 	0.0541542	0.253623	0.468883
16 	407   	0.312706	0.0541239	0.251492	0.500853
17 	436   	0.312555	0.05585  	0.251066	0.476556
18 	411   	0.30972 	0.0588103	0.251066	0.491901
19 	430   	0.308376	0.0545455	0.250639	0.466752
20 	424   	0.307248	0.0542869	0.249361	0.469736
21 	419   	0.309699	0.0549191	0.248508	0.459506
22 	429   	0.308269	0.056306 	0.248082	0.465047
23 	431   	0.308798	0.0564556	0.247656	0.525575
24 	429   	0.31415 	0.0597873	0.247656	0.492327
25 	438   	0.311135	0.058239 	0.247656	0.478687
26 	421   	0.313186	0.0620795	0.246803	0.505541
27 	447   	0.314265	0.0567685	0.245524	0.482523
28 	442   	0.313906	0.0563629	0.245524	0.488065
29 	430   	0.315323	0.0581483	0.245524	0.477408
30 	425   	0.312203	0.0569844	0.244246	0.480392
31 	424   	0.312527	0.0603799	0.243819	0.492754
32 	410   	0.307503	0.0594405	0.243393	0.487639
33 	431   	0.300606	0.0529833	0.240409	0.472293
34 	443   	0.303647	0.0581341	0.239557	0.499574
35 	417   	0.293112	0.049522 	0.23913 	0.429668
36 	425   	0.294954	0.055261 	0.237425	0.474425
37 	419   	0.292642	0.0544802	0.236573	0.462063
38 	427   	0.29523 	0.0529035	0.236147	0.447144
39 	447   	0.300393	0.0569829	0.23572 	0.466752
40 	435   	0.29998 	0.0575914	0.234868	0.461637
41 	437   	0.299845	0.0560673	0.234868	0.472293
42 	415   	0.291389	0.0560618	0.234442	0.470162
43 	417   	0.2946  	0.0571998	0.234442	0.461637
44 	446   	0.306227	0.067246 	0.233589	0.509378
45 	416   	0.295734	0.0620763	0.23231 	0.523444
46 	423   	0.302409	0.0639921	0.23231 	0.492754
47 	431   	0.304551	0.0634447	0.231884	0.494032
48 	434   	0.305569	0.0644051	0.231884	0.479966
49 	440   	0.306499	0.0652135	0.231884	0.49318 
50 	425   	0.307009	0.0657004	0.231032	0.492754
Loss of the best individual 0.23103
Loss: 0.26403, f1-score: 0.43850, acc: 0.14851
