gen	nevals	avg   	std      	min     	max     
0  	512   	0.5582	0.0722284	0.342711	0.703751
1  	411   	0.473884	0.0618095	0.290281	0.624041
2  	452   	0.444839	0.065775 	0.290281	0.611679
3  	441   	0.418479	0.0662897	0.287298	0.603581
4  	421   	0.393461	0.06603  	0.285166	0.561381
5  	446   	0.381692	0.0685072	0.28474 	0.557971
6  	435   	0.377667	0.0703898	0.281756	0.565644
7  	445   	0.37632 	0.0684581	0.279625	0.547741
8  	439   	0.368207	0.0708868	0.279625	0.552856
9  	425   	0.366501	0.0686081	0.279625	0.554561
10 	421   	0.361661	0.0672336	0.277494	0.528986
11 	428   	0.358955	0.0707043	0.276641	0.527707
12 	405   	0.354036	0.0670296	0.27451 	0.545183
13 	423   	0.354066	0.0644933	0.2711  	0.519182
14 	444   	0.357003	0.0662897	0.2711  	0.532822
15 	431   	0.357155	0.0679106	0.266411	0.55925 
16 	431   	0.358257	0.0683845	0.266411	0.539216
17 	439   	0.363857	0.0719844	0.266411	0.542626
18 	437   	0.359315	0.0708526	0.263853	0.566496
19 	425   	0.350817	0.0661513	0.260017	0.517903
20 	427   	0.34677 	0.0679668	0.259165	0.524297
21 	434   	0.346291	0.0673959	0.259165	0.52728 
22 	432   	0.350706	0.0723596	0.259165	0.54561 
23 	432   	0.34633 	0.0679187	0.259165	0.522592
24 	437   	0.344341	0.0676081	0.259165	0.539216
25 	443   	0.343081	0.0644863	0.257033	0.519182
26 	430   	0.343666	0.0660658	0.257033	0.519182
27 	436   	0.348276	0.0694176	0.257033	0.542199
28 	417   	0.342938	0.0696513	0.250639	0.52728 
29 	411   	0.343669	0.0698579	0.250639	0.543905
30 	431   	0.340938	0.0658648	0.250639	0.520034
31 	412   	0.339066	0.0716877	0.249787	0.522592
32 	426   	0.340392	0.0679307	0.249787	0.506394
33 	432   	0.339038	0.064162 	0.249787	0.505968
34 	418   	0.337477	0.0691641	0.249787	0.548167
35 	435   	0.333211	0.0643526	0.249787	0.513214
36 	432   	0.330166	0.0647996	0.249787	0.520034
37 	438   	0.328396	0.0634485	0.249787	0.490622
38 	437   	0.332137	0.0633175	0.249787	0.516198
39 	422   	0.328794	0.0631777	0.247229	0.506394
40 	429   	0.328355	0.0627741	0.247229	0.51705 
41 	423   	0.33172 	0.0630498	0.247229	0.494885
42 	413   	0.324727	0.0605713	0.247229	0.489344
43 	436   	0.330125	0.0646076	0.247229	0.502131
44 	433   	0.32451 	0.0611524	0.247229	0.499147
45 	435   	0.328896	0.0627806	0.247229	0.501705
46 	424   	0.32623 	0.0634097	0.247229	0.484655
47 	418   	0.323627	0.058939 	0.247229	0.475703
48 	407   	0.323047	0.0615477	0.247229	0.505968
49 	424   	0.323251	0.0628257	0.247229	0.487212
50 	429   	0.324656	0.0597842	0.247229	0.505968
Loss of the best individual 0.24723
Loss: 0.30611, f1-score: 0.29068, acc: 0.13366
