gen	nevals	avg     	std     	min     	max     
0  	512   	0.558688	0.068405	0.348679	0.696931
1  	432   	0.485909	0.0643387	0.309463	0.627025
2  	426   	0.434743	0.0629384	0.297954	0.607843
3  	427   	0.401462	0.061547 	0.293265	0.577153
4  	442   	0.38667 	0.0635914	0.290281	0.59335 
5  	440   	0.375819	0.0614343	0.287724	0.555413
6  	440   	0.369569	0.0624847	0.27792 	0.559676
7  	444   	0.374554	0.0684829	0.276215	0.572464
8  	437   	0.378761	0.0733782	0.276215	0.55925 
9  	426   	0.370925	0.0720525	0.273231	0.582694
10 	397   	0.364955	0.0750071	0.273231	0.580563
11 	427   	0.371612	0.0760021	0.262575	0.557545
12 	442   	0.368973	0.0743641	0.262575	0.560529
13 	438   	0.37165 	0.0793706	0.254049	0.578858
14 	414   	0.360948	0.0762165	0.254049	0.555413
15 	419   	0.360943	0.0760636	0.254049	0.570332
16 	438   	0.366722	0.075499 	0.254049	0.570332
17 	428   	0.3573  	0.0774829	0.254049	0.572038
18 	423   	0.361772	0.0776154	0.254049	0.566496
19 	438   	0.366397	0.0792923	0.253197	0.597613
20 	456   	0.374318	0.0826833	0.252771	0.596334
21 	423   	0.364317	0.0802814	0.252771	0.577579
22 	429   	0.368028	0.0806666	0.252771	0.58312 
23 	437   	0.375123	0.0868347	0.249361	0.581841
24 	427   	0.362621	0.0802863	0.249361	0.550725
25 	435   	0.364642	0.0844021	0.249361	0.584399
26 	422   	0.356955	0.0813765	0.249361	0.550298
27 	426   	0.355427	0.0841397	0.249361	0.582268
28 	425   	0.355425	0.08362  	0.249361	0.588235
29 	410   	0.356042	0.0826151	0.245098	0.559676
30 	447   	0.358353	0.0812979	0.245098	0.579284
31 	446   	0.366235	0.0831086	0.243819	0.568627
32 	440   	0.365999	0.0834103	0.243819	0.591645
33 	436   	0.358582	0.0782802	0.243819	0.549446
34 	433   	0.35652 	0.0810295	0.243819	0.560102
35 	411   	0.349534	0.0836073	0.24254 	0.572038
36 	413   	0.353836	0.0862461	0.24254 	0.601449
37 	421   	0.35112 	0.0856594	0.242114	0.579284
38 	420   	0.352963	0.0828496	0.239983	0.557971
39 	446   	0.358486	0.0859135	0.239983	0.609122
40 	455   	0.369256	0.0881908	0.239983	0.582694
41 	439   	0.37007 	0.087611 	0.239983	0.606138
42 	432   	0.365548	0.0837601	0.239983	0.568627
43 	410   	0.359372	0.0875379	0.239983	0.572038
44 	411   	0.354728	0.0879698	0.239983	0.566922
45 	425   	0.359984	0.090677 	0.239557	0.581841
46 	445   	0.369925	0.0908811	0.239557	0.592072
47 	421   	0.35355 	0.0851179	0.239557	0.570332
48 	429   	0.351821	0.0857765	0.239557	0.581841
49 	445   	0.366999	0.0860982	0.239557	0.621057
50 	434   	0.356953	0.0857062	0.23913 	0.592924
Loss of the best individual 0.23913
Loss: 0.28383, f1-score: 0.32815, acc: 0.13861
