gen	nevals	avg     	std      	min     	max     
0  	512   	0.559052	0.0718864	0.318841	0.708866
1  	428   	0.475132	0.0633536	0.318841	0.630435
2  	430   	0.436714	0.06428  	0.299659	0.609122
3  	421   	0.408517	0.0629871	0.299659	0.575874
4  	427   	0.39898 	0.0649149	0.284314	0.575448
5  	428   	0.390358	0.0669124	0.284314	0.546888
6  	430   	0.381316	0.0673732	0.284314	0.565644
7  	414   	0.371275	0.0650684	0.283887	0.56948 
8  	439   	0.366263	0.0629039	0.282182	0.567349
9  	436   	0.363315	0.0661159	0.275362	0.552003
10 	437   	0.369454	0.0709316	0.275362	0.563086
11 	437   	0.363624	0.0671616	0.275362	0.540068
12 	424   	0.362301	0.0685596	0.275362	0.533248
13 	419   	0.36498 	0.0731248	0.265985	0.568201
14 	411   	0.355327	0.0665948	0.265985	0.528559
15 	430   	0.368435	0.0728645	0.265985	0.572038
16 	424   	0.36209 	0.0693572	0.265985	0.539642
17 	445   	0.365797	0.0713046	0.262575	0.575874
18 	430   	0.359828	0.0730879	0.262575	0.563512
19 	438   	0.347511	0.0630007	0.262575	0.515345
20 	400   	0.337937	0.0629249	0.261722	0.511935
21 	443   	0.344762	0.0667926	0.259591	0.559676
22 	418   	0.335165	0.0633643	0.256607	0.539642
23 	417   	0.336296	0.0644993	0.256181	0.530264
24 	462   	0.340153	0.062516 	0.252771	0.514919
25 	429   	0.332897	0.0637378	0.252771	0.514493
26 	435   	0.330746	0.0597678	0.252344	0.500853
27 	425   	0.325303	0.0577937	0.252344	0.510656
28 	431   	0.322718	0.0572169	0.252344	0.477835
29 	423   	0.323753	0.0614735	0.252344	0.503836
30 	428   	0.321265	0.0574177	0.250639	0.487639
31 	427   	0.321814	0.0593985	0.250213	0.509804
32 	418   	0.320646	0.058648 	0.250213	0.497442
33 	429   	0.317095	0.0570064	0.249787	0.481245
34 	417   	0.311845	0.0554977	0.248508	0.477835
35 	411   	0.315187	0.0570551	0.248508	0.482523
36 	420   	0.316142	0.0591411	0.248508	0.491049
37 	438   	0.320699	0.0576708	0.248082	0.477408
38 	422   	0.317176	0.060542 	0.246803	0.492754
39 	438   	0.318299	0.0565127	0.246803	0.473998
40 	434   	0.314466	0.05616  	0.244246	0.470588
41 	438   	0.32265 	0.0623721	0.244246	0.50341 
42 	427   	0.316534	0.0566591	0.244246	0.497442
43 	394   	0.308153	0.0576456	0.243819	0.487639
44 	443   	0.319688	0.0629738	0.240409	0.505541
45 	433   	0.313186	0.0588015	0.240409	0.478261
46 	430   	0.314558	0.0589467	0.240409	0.482097
47 	419   	0.310976	0.0571698	0.238278	0.468457
48 	436   	0.312096	0.0578802	0.238278	0.502984
49 	428   	0.307639	0.0567447	0.238278	0.468457
50 	409   	0.301405	0.0560039	0.235294	0.498721
Loss of the best individual 0.23529
Loss: 0.27475, f1-score: 0.35561, acc: 0.06931
