gen	nevals	avg     	std     	min     	max     
0  	512   	0.418899	0.053451	0.254289	0.597439
1  	420   	0.348161	0.0385572	0.221307	0.42956 
2  	415   	0.295145	0.0339591	0.207127	0.371344
3  	413   	0.251458	0.0254096	0.185974	0.322821
4  	419   	0.224098	0.0194297	0.173121	0.284363
5  	440   	0.207832	0.0170326	0.168887	0.256994
6  	450   	0.198558	0.017169 	0.155933	0.243754
7  	434   	0.187017	0.0178424	0.128413	0.239369
8  	447   	0.174867	0.0180056	0.128413	0.225407
9  	424   	0.160593	0.0177111	0.115375	0.207564
10 	444   	0.150539	0.0174489	0.109713	0.197147
11 	442   	0.142486	0.0165281	0.109696	0.186092
12 	451   	0.137817	0.0161815	0.106403	0.181438
13 	425   	0.1331  	0.0176156	0.103211	0.182849
14 	432   	0.129161	0.0161921	0.10227 	0.170836
15 	428   	0.125413	0.0162573	0.0976831	0.171911
16 	422   	0.123125	0.0164229	0.0976831	0.170887
17 	435   	0.121979	0.0171513	0.0937348	0.171995
18 	438   	0.117499	0.0155586	0.0914666	0.163595
19 	431   	0.116015	0.0160535	0.0914666	0.156421
20 	435   	0.113354	0.0156781	0.0914666	0.161024
21 	428   	0.112627	0.0157529	0.0914666	0.157059
22 	444   	0.111676	0.0152929	0.0850317	0.151968
23 	437   	0.112079	0.0161542	0.0850317	0.15348 
24 	398   	0.107571	0.0155498	0.0850317	0.161125
25 	444   	0.108862	0.0155753	0.0850317	0.153195
26 	439   	0.107737	0.0154217	0.0850149	0.152136
27 	431   	0.104182	0.0141172	0.0850149	0.146189
28 	405   	0.101613	0.0133313	0.0847965	0.14471 
29 	430   	0.0997429	0.0119872	0.0847965	0.142711
30 	409   	0.100062 	0.0132251	0.0842588	0.145097
31 	431   	0.100056 	0.0128752	0.0842588	0.139384
32 	434   	0.0999867	0.0125251	0.0842252	0.14219 
33 	413   	0.100372 	0.0132012	0.0842252	0.142005
34 	439   	0.100098 	0.0124486	0.0842252	0.139182
35 	414   	0.100696 	0.0134155	0.0842252	0.139149
36 	449   	0.101667 	0.0129771	0.0840572	0.138443
37 	432   	0.100833 	0.0128764	0.0839732	0.139686
38 	429   	0.100475 	0.0125415	0.0839732	0.135469
39 	424   	0.0991895	0.0125153	0.0838388	0.137586
40 	439   	0.0993568	0.0125948	0.0834859	0.139535
41 	434   	0.0989569	0.0126296	0.0830323	0.132294
42 	427   	0.0982906	0.0127757	0.082209 	0.139468
43 	422   	0.0983343	0.012894 	0.082209 	0.133621
44 	413   	0.0975091	0.0127051	0.0819066	0.142106
45 	430   	0.0975233	0.0126624	0.081621 	0.138998
46 	438   	0.0968139	0.0116419	0.081621 	0.131118
47 	439   	0.0970215	0.0119881	0.081621 	0.132428
48 	423   	0.0963144	0.0121362	0.0812514	0.134478
49 	451   	0.0988867	0.0130811	0.0798737	0.144273
50 	453   	0.0984305	0.0126249	0.0798737	0.136041
Loss of the best individual 0.07987
Loss: 0.08078, f1-score: 0.03239, acc: 0.00000
