gen	nevals	avg     	std      	min     	max     
0  	512   	0.418422	0.0530054	0.244813	0.553689
1  	428   	0.34375 	0.0347946	0.23873 	0.429745
2  	431   	0.298821	0.0312478	0.203532	0.371999
3  	419   	0.259111	0.0289783	0.180195	0.337724
4  	437   	0.226908	0.023724 	0.170063	0.284548
5  	425   	0.203113	0.0186231	0.144996	0.254238
6  	443   	0.187526	0.0174466	0.140661	0.23038 
7  	437   	0.175302	0.0180054	0.132327	0.224349
8  	415   	0.163785	0.0166511	0.120903	0.213495
9  	425   	0.155341	0.0164979	0.116484	0.20123 
10 	433   	0.150425	0.0174151	0.114316	0.198239
11 	429   	0.145031	0.0186787	0.108974	0.196005
12 	424   	0.140264	0.0178762	0.108974	0.18505 
13 	422   	0.136248	0.0178869	0.108806	0.187856
14 	423   	0.134227	0.0181828	0.106756	0.181976
15 	445   	0.136023	0.0182319	0.105647	0.187318
16 	431   	0.136145	0.0195038	0.104185	0.18915 
17 	437   	0.133611	0.0189757	0.103883	0.186999
18 	447   	0.132622	0.0187886	0.103648	0.18426 
19 	458   	0.131577	0.0192786	0.103631	0.186243
20 	434   	0.126548	0.0172111	0.0948101	0.178346
21 	430   	0.126934	0.0179972	0.0948101	0.174196
22 	418   	0.122856	0.01896  	0.0925755	0.181253
23 	432   	0.120609	0.0171124	0.0920378	0.166048
24 	423   	0.117967	0.0172182	0.0920378	0.163914
25 	442   	0.116551	0.0177859	0.0920378	0.167375
26 	418   	0.114295	0.0174788	0.0899881	0.162637
27 	418   	0.112746	0.0179088	0.0899881	0.162385
28 	461   	0.112587	0.0177861	0.0881063	0.163427
29 	422   	0.111709	0.0172507	0.0881063	0.15847 
30 	431   	0.111257	0.0170127	0.0881063	0.160302
31 	436   	0.110963	0.0172965	0.0866614	0.15931 
32 	422   	0.108402	0.0166489	0.0866614	0.155413
33 	411   	0.108161	0.0171956	0.0866614	0.15837 
34 	439   	0.109766	0.0171506	0.0866278	0.159932
35 	438   	0.108246	0.0168199	0.0854181	0.155329
36 	430   	0.107383	0.0164742	0.0852165	0.149902
37 	423   	0.105742	0.0160147	0.0852165	0.148154
38 	417   	0.104351	0.0156702	0.0848301	0.155043
39 	419   	0.104139	0.0153434	0.08399  	0.144576
40 	394   	0.103397	0.0162148	0.08399  	0.143198
41 	423   	0.103791	0.0161487	0.0833851	0.152892
42 	421   	0.10436 	0.0171635	0.0831163	0.159613
43 	449   	0.103763	0.0160836	0.0831163	0.154102
44 	433   	0.104581	0.0170236	0.0823435	0.156152
45 	441   	0.102742	0.0160018	0.0823435	0.15254 
46 	412   	0.101361	0.0163726	0.0823435	0.153144
47 	426   	0.101157	0.0157702	0.0816378	0.146777
48 	446   	0.102069	0.0149941	0.0816378	0.148759
49 	438   	0.100901	0.0153432	0.0811842	0.149129
50 	437   	0.10071 	0.0154987	0.0811842	0.144475
Loss of the best individual 0.08118
Loss: 0.07941, f1-score: 0.04237, acc: 0.00000
