gen	nevals	avg     	std      	min    	max     
0  	512   	0.427191	0.0498057	0.29935	0.595222
1  	434   	0.360771	0.0338521	0.249769	0.446328
2  	434   	0.32119 	0.0298494	0.227054	0.386515
3  	404   	0.28807 	0.0296754	0.204741	0.359079
4  	446   	0.26107 	0.0276464	0.19456 	0.334515
5  	433   	0.240764	0.0257689	0.169139	0.302475
6  	451   	0.223752	0.0255407	0.156353	0.292041
7  	440   	0.207034	0.0243667	0.156353	0.271577
8  	428   	0.192759	0.021016 	0.145769	0.253852
9  	425   	0.180771	0.018986 	0.142324	0.230918
10 	428   	0.170614	0.0171155	0.137704	0.215981
11 	445   	0.164733	0.0183349	0.129236	0.21625 
12 	413   	0.156192	0.0152816	0.124431	0.202322
13 	427   	0.153041	0.0161134	0.112451	0.204019
14 	444   	0.149569	0.017516 	0.109175	0.200659
15 	426   	0.143494	0.018999 	0.109175	0.193182
16 	422   	0.138417	0.0193449	0.106386	0.1913  
17 	418   	0.13416 	0.0186155	0.105613	0.189536
18 	437   	0.132954	0.0192848	0.102522	0.1913  
19 	409   	0.127706	0.0184671	0.102522	0.180312
20 	423   	0.12835 	0.0197499	0.102169	0.184832
21 	436   	0.12799 	0.0188322	0.0998841	0.179287
22 	440   	0.123934	0.0160909	0.099464 	0.173155
23 	441   	0.124888	0.0181682	0.0984392	0.171995
24 	424   	0.120942	0.0175349	0.0974311	0.174146
25 	427   	0.118661	0.0169628	0.0973303	0.16761 
26 	425   	0.117681	0.0162752	0.0939868	0.165426
27 	431   	0.117796	0.0163594	0.09355  	0.169442
28 	421   	0.116612	0.0163025	0.0906769	0.163948
29 	432   	0.115838	0.0164538	0.0899377	0.162368
30 	409   	0.113206	0.0159814	0.0879383	0.161461
31 	419   	0.112827	0.0173941	0.0879383	0.169206
32 	438   	0.112598	0.0181184	0.0879215	0.158336
33 	428   	0.110414	0.0169413	0.086779 	0.156857
34 	415   	0.106946	0.016149 	0.086443 	0.159462
35 	440   	0.107479	0.0160205	0.0864094	0.151464
36 	431   	0.107158	0.0161573	0.0863758	0.152321
37 	430   	0.1074  	0.0168573	0.0850653	0.153648
38 	430   	0.105534	0.0158713	0.0845276	0.156471
39 	445   	0.106718	0.0164116	0.0845276	0.158386
40 	429   	0.105429	0.0162542	0.0843596	0.156152
41 	428   	0.103786	0.0151877	0.0839732	0.146071
42 	429   	0.102934	0.0146647	0.0837044	0.144307
43 	408   	0.102474	0.0156965	0.0837044	0.148608
44 	432   	0.10195 	0.0151064	0.0837044	0.147079
45 	424   	0.10215 	0.0155861	0.0833347	0.142862
46 	437   	0.102153	0.0158156	0.0827803	0.146189
47 	439   	0.10142 	0.0160063	0.0826963	0.155833
48 	411   	0.100227	0.0154095	0.0824611	0.145483
49 	436   	0.101784	0.0162524	0.0824611	0.142425
50 	427   	0.101276	0.0155456	0.0824611	0.145164
Loss of the best individual 0.08246
Loss: 0.08466, f1-score: 0.06075, acc: 0.00173
