gen	nevals	avg    	std      	min     	max     
0  	512   	0.60518	0.0847259	0.319254	0.786337
1  	427   	0.503344	0.067658 	0.281178	0.648108
2  	424   	0.428542	0.0664601	0.2455  	0.574594
3  	444   	0.373107	0.0571587	0.220062	0.537157
4  	428   	0.347397	0.0576535	0.215503	0.49692 
5  	443   	0.327845	0.0599041	0.177906	0.483801
6  	441   	0.308722	0.0639122	0.170466	0.482041
7  	422   	0.289318	0.0630704	0.170466	0.454844
8  	451   	0.269643	0.0596283	0.106711	0.430126
9  	438   	0.264805	0.0619499	0.106711	0.410207
10 	446   	0.252958	0.065801 	0.106711	0.417567
11 	431   	0.238479	0.0642021	0.106471	0.416607
12 	438   	0.230664	0.0668402	0.106471	0.413327
13 	416   	0.224198	0.0714842	0.0785537	0.391249
14 	436   	0.221996	0.0697817	0.0785537	0.389569
15 	406   	0.211393	0.0736982	0.0785537	0.392769
16 	439   	0.214756	0.0696537	0.0785537	0.383889
17 	427   	0.211819	0.0762362	0.0785537	0.405808
18 	442   	0.208743	0.07413  	0.0784737	0.386689
19 	432   	0.201241	0.0732242	0.0783937	0.384289
20 	403   	0.187203	0.0722826	0.0467963	0.359651
21 	428   	0.191035	0.073491 	0.0467963	0.351492
22 	423   	0.185902	0.0759435	0.0467963	0.360931
23 	416   	0.182698	0.074125 	0.0467963	0.352932
24 	439   	0.183474	0.0726   	0.0467963	0.37837 
25 	437   	0.185585	0.0766769	0.0467963	0.386129
26 	449   	0.186786	0.0766888	0.0467963	0.357171
27 	423   	0.177412	0.0802665	0.0467163	0.360211
28 	425   	0.172582	0.0779875	0.0467163	0.386769
29 	432   	0.169094	0.0769244	0.0467163	0.363331
30 	422   	0.168067	0.0796591	0.0467163	0.341973
31 	426   	0.171089	0.0804694	0.0467163	0.359571
32 	427   	0.170711	0.0793316	0.0467163	0.348852
33 	427   	0.170792	0.0767645	0.0467163	0.355972
34 	426   	0.16688 	0.0801193	0.0467163	0.345412
35 	429   	0.166795	0.0775119	0.0467163	0.355972
36 	429   	0.170903	0.08049  	0.0467163	0.352852
37 	440   	0.180089	0.0799184	0.0467163	0.38093 
38 	438   	0.182383	0.0792728	0.0467163	0.37461 
39 	405   	0.173728	0.0816938	0.0467163	0.37197 
40 	439   	0.169034	0.0768209	0.0467163	0.350692
41 	424   	0.170148	0.0782124	0.0467163	0.355012
42 	444   	0.174125	0.0787789	0.0467163	0.358371
43 	425   	0.174155	0.0763856	0.0467163	0.345092
44 	423   	0.174522	0.0775256	0.0467163	0.345652
45 	439   	0.182005	0.0810124	0.0467163	0.362211
46 	438   	0.182674	0.0827145	0.0467163	0.37757 
47 	405   	0.165775	0.0777835	0.0467163	0.342133
48 	419   	0.167365	0.0778053	0.0467163	0.346772
49 	435   	0.173401	0.0766491	0.0467163	0.354132
50 	428   	0.175918	0.0815201	0.0467163	0.387329
Loss of the best individual 0.04672
Loss: 0.04560, f1-score: 0.00000, acc: 0.00000
