gen	nevals	avg     	std      	min     	max     
0  	512   	0.609737	0.0840491	0.328934	0.881609
1  	448   	0.509499	0.0708265	0.261099	0.671946
2  	437   	0.436976	0.0579601	0.261099	0.584593
3  	404   	0.390601	0.0588113	0.234141	0.537237
4  	441   	0.371726	0.0608475	0.234141	0.522438
5  	434   	0.351157	0.0581518	0.234141	0.493721
6  	413   	0.335511	0.0607208	0.209263	0.492841
7  	432   	0.328351	0.064391 	0.209263	0.50084 
8  	445   	0.317299	0.0638453	0.181905	0.507239
9  	440   	0.31176 	0.068616 	0.150068	0.483401
10 	429   	0.292216	0.0640299	0.146548	0.446364
11 	445   	0.283309	0.0674192	0.144708	0.460603
12 	440   	0.265549	0.0611575	0.144068	0.433565
13 	448   	0.253748	0.0611359	0.111191	0.409407
14 	446   	0.242229	0.0658581	0.111191	0.395968
15 	441   	0.227067	0.0629373	0.099672	0.401728
16 	415   	0.205123	0.0619062	0.0788737	0.355572
17 	431   	0.199197	0.0593412	0.0788737	0.338773
18 	450   	0.194668	0.0590418	0.0779938	0.325654
19 	429   	0.184912	0.0611324	0.0779938	0.338773
20 	438   	0.181264	0.0576252	0.0779938	0.315335
21 	405   	0.174139	0.062117 	0.0779938	0.322294
22 	421   	0.170356	0.0640902	0.0779938	0.342933
23 	432   	0.164475	0.0594995	0.0779138	0.310375
24 	431   	0.163028	0.0589101	0.0779138	0.319174
25 	428   	0.155588	0.0581988	0.0481561	0.318455
26 	431   	0.163932	0.059745 	0.0481561	0.300136
27 	447   	0.165822	0.0581932	0.0466363	0.319974
28 	430   	0.162541	0.0589103	0.0466363	0.312295
29 	419   	0.157934	0.0605196	0.0466363	0.310295
30 	427   	0.155601	0.0638999	0.0466363	0.318055
31 	437   	0.155046	0.0635776	0.0466363	0.308695
32 	441   	0.152542	0.0627746	0.0466363	0.293017
33 	421   	0.141078	0.0620171	0.0466363	0.292937
34 	431   	0.134259	0.0561805	0.0466363	0.274778
35 	418   	0.134718	0.0609272	0.0466363	0.283257
36 	447   	0.135109	0.0589172	0.0466363	0.290777
37 	433   	0.135466	0.0601606	0.0466363	0.289097
38 	431   	0.129055	0.0595018	0.0463963	0.283657
39 	437   	0.129892	0.0585663	0.0463963	0.293896
40 	423   	0.127557	0.0567383	0.0463963	0.279098
41 	438   	0.130286	0.0558171	0.0463963	0.258459
42 	436   	0.135488	0.062635 	0.0463963	0.313255
43 	433   	0.134622	0.0600577	0.0463963	0.287977
44 	436   	0.137057	0.0597165	0.0463963	0.287897
45 	416   	0.133025	0.0612121	0.0463963	0.294936
46 	431   	0.133782	0.0614874	0.0463163	0.286377
47 	426   	0.142349	0.0655947	0.0463163	0.293976
48 	428   	0.145032	0.0673333	0.0463163	0.318135
49 	430   	0.143389	0.0649983	0.0463163	0.316055
50 	432   	0.144783	0.0675041	0.0462363	0.345572
Loss of the best individual 0.04624
Loss: 0.04541, f1-score: 0.01481, acc: 0.00000
