gen	nevals	avg    	std      	min    	max     
0  	512   	0.60271	0.0882778	0.37861	0.887849
1  	437   	0.497564	0.0664742	0.343653	0.669866
2  	428   	0.438952	0.0591264	0.2551  	0.587713
3  	432   	0.394717	0.0549363	0.218143	0.534117
4  	415   	0.362627	0.0598522	0.218143	0.522198
5  	435   	0.333277	0.0660113	0.171746	0.5042  
6  	448   	0.306554	0.0619317	0.162227	0.469962
7  	444   	0.289294	0.0614534	0.133829	0.451404
8  	428   	0.273842	0.059326 	0.133829	0.420126
9  	437   	0.262733	0.0647111	0.12519 	0.430206
10 	426   	0.244812	0.0667192	0.102152	0.422366
11 	430   	0.229265	0.0694756	0.102152	0.408367
12 	424   	0.214338	0.0632713	0.0968723	0.36941 
13 	421   	0.21082 	0.0665653	0.0966323	0.404608
14 	444   	0.205294	0.0649142	0.0966323	0.366691
15 	429   	0.199294	0.0626622	0.0966323	0.37733 
16 	429   	0.193009	0.0609942	0.0666347	0.340533
17 	440   	0.195924	0.0672164	0.0666347	0.37069 
18 	447   	0.190646	0.06337  	0.0650348	0.343972
19 	428   	0.181972	0.0624019	0.0650348	0.337333
20 	426   	0.175115	0.0657315	0.0650348	0.338693
21 	424   	0.168101	0.0625192	0.0650348	0.315015
22 	445   	0.160624	0.0599963	0.0650348	0.312055
23 	420   	0.155918	0.0624978	0.0650348	0.314295
24 	431   	0.159086	0.0651541	0.0647148	0.311895
25 	411   	0.151728	0.0635383	0.0647148	0.309335
26 	409   	0.150181	0.0651867	0.0647148	0.335813
27 	440   	0.152199	0.0600655	0.0647148	0.303016
28 	445   	0.155009	0.0620137	0.0647148	0.309335
29 	425   	0.148979	0.0615346	0.0647148	0.307655
30 	430   	0.144064	0.0599051	0.0647148	0.317895
31 	420   	0.142433	0.0591332	0.0647148	0.307655
32 	417   	0.142845	0.0568785	0.0647148	0.272378
33 	419   	0.143147	0.0591627	0.0647148	0.299736
34 	412   	0.142272	0.0600692	0.0647148	0.277178
35 	426   	0.138277	0.0573784	0.0647148	0.276698
36 	418   	0.142562	0.0577624	0.0647148	0.280538
37 	436   	0.143369	0.0559299	0.0647148	0.281257
38 	413   	0.144855	0.0575843	0.0647148	0.298536
39 	433   	0.144743	0.058748 	0.0647148	0.299816
40 	434   	0.148411	0.0595869	0.0647148	0.302536
41 	427   	0.146595	0.0618762	0.0647148	0.305256
42 	438   	0.14388 	0.054763 	0.0647148	0.279258
43 	423   	0.143686	0.0562492	0.0647148	0.295416
44 	438   	0.146506	0.0586538	0.0647148	0.306775
45 	426   	0.142058	0.0562004	0.0647148	0.277338
46 	439   	0.14995 	0.0593406	0.0647148	0.301656
47 	419   	0.143663	0.0585628	0.0647148	0.280698
48 	417   	0.142278	0.059107 	0.0647148	0.302616
49 	430   	0.141736	0.0592884	0.0647148	0.304616
50 	441   	0.146143	0.0574237	0.0647148	0.303976
Loss of the best individual 0.06471
Loss: 0.06235, f1-score: 0.03063, acc: 0.27136
