gen	nevals	avg     	std     	min     	max     
0  	512   	0.603876	0.087639	0.311655	0.844492
1  	441   	0.502148	0.0741803	0.279898	0.676026
2  	410   	0.424387	0.0702886	0.226782	0.581074
3  	430   	0.368507	0.0613322	0.206463	0.510359
4  	429   	0.326908	0.0639154	0.176386	0.514759
5  	428   	0.287916	0.0584247	0.153908	0.456363
6  	430   	0.260436	0.0555766	0.146788	0.415007
7  	415   	0.241563	0.0553636	0.0851932	0.394688
8  	414   	0.223318	0.0603858	0.0851932	0.384689
9  	436   	0.198735	0.0570478	0.0833533	0.347492
10 	441   	0.185646	0.0570241	0.0772738	0.324534
11 	443   	0.166339	0.0540327	0.0469562	0.317335
12 	419   	0.155015	0.0538245	0.0469562	0.331973
13 	429   	0.145915	0.0538056	0.0468762	0.286217
14 	435   	0.134975	0.0531676	0.0467963	0.284377
15 	433   	0.133273	0.0552049	0.0467963	0.286777
16 	432   	0.126017	0.0534026	0.0467163	0.262219
17 	418   	0.120516	0.0555933	0.0467163	0.271578
18 	431   	0.116082	0.0498078	0.0467163	0.24718 
19 	419   	0.110883	0.0516351	0.0467163	0.257179
20 	438   	0.112871	0.0502074	0.0467163	0.226942
21 	400   	0.106322	0.0498176	0.0467163	0.242381
22 	423   	0.106078	0.0486754	0.0465563	0.237021
23 	421   	0.108829	0.0501636	0.0459163	0.243581
24 	431   	0.104921	0.0449828	0.0459163	0.220222
25 	430   	0.101788	0.0462807	0.0459163	0.219422
26 	409   	0.0991097	0.0448727	0.0457563	0.218543
27 	463   	0.109631 	0.0466614	0.0457563	0.241101
28 	439   	0.103332 	0.0446348	0.0457563	0.220942
29 	437   	0.101817 	0.0472097	0.0457563	0.24662 
30 	420   	0.103101 	0.0476781	0.0457563	0.240221
31 	450   	0.10683  	0.0460967	0.0457563	0.229182
32 	447   	0.102179 	0.043895 	0.0457563	0.219902
33 	425   	0.0998034	0.0453303	0.0457563	0.218383
34 	422   	0.0980097	0.0442055	0.0457563	0.238141
35 	432   	0.100487 	0.0483312	0.0457563	0.24726 
36 	429   	0.0993988	0.0446898	0.0457563	0.214463
37 	411   	0.0940398	0.0438071	0.0457563	0.223982
38 	431   	0.0980436	0.0449114	0.0457563	0.225262
39 	442   	0.103911 	0.0464314	0.0457563	0.233661
40 	441   	0.0985276	0.0443066	0.0457563	0.221422
41 	437   	0.0952133	0.0441223	0.0457563	0.232141
42 	426   	0.0964031	0.043057 	0.0457563	0.207743
43 	422   	0.0956894	0.0434078	0.0457563	0.208223
44 	428   	0.0945582	0.0441155	0.0457563	0.24654 
45 	438   	0.0931438	0.0412891	0.0457563	0.219822
46 	431   	0.0959908	0.042752 	0.0457563	0.217983
47 	425   	0.0971264	0.045864 	0.0457563	0.221662
48 	413   	0.0958478	0.0440704	0.0457563	0.222782
49 	420   	0.0939155	0.0446055	0.0457563	0.233261
50 	425   	0.0953175	0.0442347	0.0457563	0.220062
Loss of the best individual 0.04576
Loss: 0.04485, f1-score: 0.02327, acc: 0.00000
