gen	nevals	avg    	std     	min     	max     
0  	512   	0.40517	0.067425	0.235502	0.617751
1  	427   	0.316939	0.0458618	0.164765	0.426827
2  	423   	0.26104 	0.0423093	0.14034 	0.348949
3  	427   	0.216194	0.0367894	0.12012 	0.306507
4  	412   	0.186298	0.0363838	0.104905	0.278879
5  	415   	0.160533	0.0337983	0.087354	0.267534
6  	446   	0.145708	0.0313594	0.0762763	0.228161
7  	415   	0.129475	0.0288966	0.0760093	0.209009
8  	449   	0.118146	0.027772 	0.0651985	0.194795
9  	417   	0.109616	0.0268544	0.0543877	0.185319
10 	402   	0.100031	0.0258778	0.0536537	0.178045
11 	434   	0.0908384	0.0249931	0.0523857	0.162029
12 	423   	0.0863624	0.0260149	0.0523857	0.158292
13 	414   	0.081573 	0.0252534	0.0351018	0.155956
14 	421   	0.0797639	0.0267056	0.0351018	0.153754
15 	420   	0.0749612	0.0250195	0.0328328	0.139139
16 	433   	0.0712535	0.0258322	0.0321655	0.137938
17 	419   	0.063431 	0.0252248	0.0319653	0.142142
18 	413   	0.0567841	0.0223552	0.0316316	0.123524
19 	437   	0.0590488	0.0236047	0.031298 	0.121388
20 	418   	0.0553087	0.022773 	0.0308976	0.11665 
21 	427   	0.0572412	0.02394  	0.0304304	0.120053
22 	416   	0.0544011	0.0215254	0.030297 	0.118719
23 	418   	0.0546716	0.022629 	0.0301635	0.123457
24 	440   	0.0537453	0.0221931	0.0299633	0.118252
25 	440   	0.0540005	0.0209736	0.0295629	0.117651
26 	431   	0.0510384	0.0202713	0.0295629	0.11318 
27 	411   	0.0469778	0.0183016	0.0290958	0.0971638
28 	416   	0.046991 	0.0201756	0.0290958	0.100434 
29 	424   	0.0457429	0.018257 	0.0286286	0.0970971
30 	425   	0.0446345	0.0171547	0.0286286	0.0955622
31 	424   	0.0440369	0.0165161	0.0286286	0.0945612
32 	429   	0.0433957	0.0175756	0.0285619	0.11011  
33 	437   	0.0449492	0.0169129	0.0284952	0.0954288
34 	432   	0.0425461	0.0162535	0.0284284	0.0914248
35 	425   	0.0405975	0.0157104	0.0281615	0.0937604
36 	430   	0.0418207	0.0155523	0.0278946	0.0940274
37 	419   	0.0417251	0.0168527	0.0278946	0.094361 
38 	432   	0.0405395	0.015048 	0.0278946	0.0919586
39 	436   	0.0413917	0.015557 	0.0278946	0.0921588
40 	391   	0.037711 	0.0142012	0.0278946	0.0910911
41 	420   	0.0395337	0.0152953	0.0278278	0.0927594
42 	452   	0.0399914	0.0150905	0.0277611	0.0927594
43 	430   	0.0382067	0.0138155	0.0277611	0.0904905
44 	431   	0.0382513	0.013859 	0.0277611	0.091625 
45 	440   	0.0385683	0.0136809	0.0277611	0.0928262
46 	436   	0.0392572	0.0151019	0.0277611	0.0928929
47 	446   	0.0389688	0.0139047	0.0276944	0.0771438
48 	397   	0.0372409	0.0138337	0.0276944	0.090624 
49 	430   	0.0392378	0.0149439	0.0276944	0.0931598
50 	432   	0.039188 	0.0148931	0.0276944	0.0914915
Loss of the best individual 0.02769
Loss: 0.02960, f1-score: 0.00415, acc: 0.00620
