gen	nevals	avg     	std     	min    	max     
0  	512   	0.405334	0.068274	0.21695	0.614615
1  	430   	0.31642 	0.042875	0.170838	0.421822
2  	438   	0.263619	0.0407139	0.164698	0.355756
3  	444   	0.216437	0.0335256	0.136737	0.309309
4  	428   	0.186745	0.0277622	0.117317	0.267734
5  	428   	0.163479	0.0246579	0.101235	0.225359
6  	434   	0.142983	0.0244812	0.0766767	0.214214
7  	426   	0.126811	0.0227516	0.0736737	0.192526
8  	429   	0.115868	0.0243341	0.060327 	0.182783
9  	424   	0.106857	0.0249301	0.0529196	0.181849
10 	414   	0.0954383	0.0231116	0.0521855	0.159293
11 	422   	0.0882908	0.0238789	0.0509843	0.163297
12 	436   	0.0827845	0.0226036	0.0304304	0.147281
13 	425   	0.075709 	0.0228101	0.0303637	0.138805
14 	433   	0.0689458	0.0228685	0.0299633	0.147281
15 	437   	0.0658532	0.0249952	0.0292292	0.137671
16 	431   	0.0585685	0.0240391	0.0290958	0.136336
17 	433   	0.054748 	0.0230324	0.0290958	0.133267
18 	426   	0.0574068	0.0255797	0.029029 	0.13687 
19 	438   	0.0552596	0.0226439	0.0289623	0.11665 
20 	407   	0.0527912	0.0236126	0.0288288	0.116583
21 	400   	0.0527273	0.023482 	0.0288288	0.115849
22 	427   	0.0526391	0.023505 	0.0286954	0.115782
23 	425   	0.0510538	0.0221329	0.0286954	0.114848
24 	435   	0.0524913	0.0222207	0.0286286	0.11685 
25 	433   	0.0510056	0.0215841	0.0285619	0.116183
26 	455   	0.050287 	0.0213155	0.0285619	0.116049
27 	445   	0.0496232	0.019629 	0.0284952	0.0955622
28 	424   	0.0480037	0.0204496	0.0284284	0.114114 
29 	406   	0.0450826	0.019049 	0.028295 	0.0950284
30 	422   	0.0477214	0.0193313	0.028295 	0.0954288
31 	422   	0.0489082	0.0203526	0.028295 	0.114715 
32 	424   	0.0492968	0.0208311	0.0282282	0.114715 
33 	413   	0.0466829	0.0201759	0.0281615	0.114314 
34 	425   	0.0493693	0.0219865	0.0281615	0.115115 
35 	435   	0.0506269	0.0215561	0.0281615	0.114781 
36 	439   	0.0526735	0.0231293	0.0280948	0.115782 
37 	432   	0.0523998	0.0228701	0.0280948	0.114781 
38 	427   	0.0521958	0.0222718	0.0280948	0.115115 
39 	411   	0.0510324	0.0225696	0.028028 	0.115182 
40 	424   	0.0519153	0.022039 	0.028028 	0.114515 
41 	438   	0.0504263	0.0218766	0.028028 	0.114848 
42 	413   	0.0497567	0.0212384	0.028028 	0.114982 
43 	406   	0.0490958	0.020974 	0.028028 	0.113914 
44 	425   	0.049115 	0.020991 	0.0278946	0.11358  
45 	448   	0.0522118	0.0220562	0.0278946	0.114715 
46 	435   	0.0519479	0.0219206	0.0278946	0.114448 
47 	424   	0.0490921	0.0205315	0.0278278	0.115048 
48 	438   	0.0494642	0.020671 	0.0278278	0.0954288
49 	441   	0.0467376	0.0187516	0.0278278	0.0939606
50 	438   	0.0461564	0.0187179	0.0278278	0.114181 
Loss of the best individual 0.02783
Loss: 0.02891, f1-score: 0.00111, acc: 0.00000
