gen	nevals	avg     	std      	min     	max     
0  	512   	0.406472	0.0618859	0.230297	0.590057
1  	436   	0.322341	0.0410277	0.207875	0.416149
2  	426   	0.27309 	0.0387913	0.163764	0.367367
3  	449   	0.228678	0.0342184	0.14688 	0.329863
4  	425   	0.193887	0.0307612	0.118385	0.294161
5  	432   	0.166233	0.0283813	0.0939606	0.246113
6  	432   	0.146604	0.0275772	0.0762763	0.224424
7  	433   	0.127301	0.0266139	0.0559226	0.199333
8  	436   	0.109051	0.0259706	0.05332  	0.18632 
9  	436   	0.0969748	0.0268754	0.0361028	0.176176
10 	434   	0.0821937	0.024198 	0.0328996	0.151952
11 	432   	0.0707212	0.0237471	0.0321655	0.139139
12 	447   	0.0624149	0.0215924	0.0314314	0.121588
13 	447   	0.0558901	0.0214081	0.0309643	0.111378
14 	442   	0.0531286	0.0199747	0.0306974	0.105439
15 	393   	0.0501134	0.021337 	0.0299633	0.117117
16 	446   	0.0501614	0.0193923	0.0299633	0.114781
17 	416   	0.047848 	0.0188905	0.0296296	0.0992326
18 	447   	0.0471632	0.0184516	0.0290958	0.0980314
19 	434   	0.0458217	0.0180191	0.0290958	0.116183 
20 	418   	0.0438265	0.0173727	0.0288288	0.0971638
21 	433   	0.0448104	0.0179876	0.0286954	0.101768 
22 	439   	0.041863 	0.0149809	0.0286954	0.0937604
23 	432   	0.0415376	0.0157174	0.0284952	0.0950951
24 	433   	0.0414714	0.0152213	0.028295 	0.0931598
25 	428   	0.0407703	0.0150397	0.028295 	0.0949616
26 	445   	0.0405799	0.0148831	0.028028 	0.0912246
27 	433   	0.0391509	0.0141557	0.028028 	0.0796797
28 	444   	0.0393826	0.0143986	0.028028 	0.0765432
29 	449   	0.0402645	0.0145376	0.028028 	0.0931598
30 	454   	0.0408547	0.0143862	0.0278946	0.075342 
31 	420   	0.03899  	0.0136777	0.0278946	0.0772105
32 	408   	0.0375343	0.0134764	0.0278946	0.091625 
33 	422   	0.0403637	0.0154758	0.0240908	0.0942943
34 	449   	0.0391326	0.0143362	0.0236236	0.0765432
35 	436   	0.0399233	0.0152034	0.0230898	0.0910911
36 	418   	0.038061 	0.0148778	0.0230898	0.0911578
37 	441   	0.038037 	0.0154175	0.0229563	0.090624 
38 	440   	0.0359362	0.0149186	0.0229563	0.0894895
39 	406   	0.0348523	0.014453 	0.0228228	0.0838172
40 	434   	0.0339603	0.0139698	0.0226894	0.0764765
41 	434   	0.0346947	0.014279 	0.0226894	0.085352 
42 	421   	0.0342477	0.0140766	0.0226894	0.0852186
43 	433   	0.0351396	0.0157014	0.0226894	0.0896897
44 	430   	0.0355667	0.0157143	0.0226226	0.0889556
45 	449   	0.033124 	0.013854 	0.0224892	0.0890224
46 	439   	0.0315191	0.0130127	0.0224892	0.0764097
47 	439   	0.0297098	0.0114807	0.0224892	0.0672673
48 	447   	0.0306228	0.0115624	0.0224892	0.0675342
49 	423   	0.0292484	0.0104355	0.0224892	0.0668001
50 	437   	0.0289082	0.0103885	0.0224892	0.0672673
Loss of the best individual 0.02249
Loss: 0.02374, f1-score: 0.02010, acc: 0.14884
