gen	nevals	avg     	std     	min     	max     
0  	512   	0.407337	0.065572	0.219019	0.598665
1  	433   	0.317744	0.0471946	0.151218	0.433233
2  	420   	0.257147	0.0416764	0.135802	0.35956 
3  	450   	0.213179	0.0371664	0.119653	0.308842
4  	428   	0.181263	0.0327129	0.0971638	0.269803
5  	430   	0.163683	0.0330565	0.0941608	0.247581
6  	422   	0.146896	0.0319225	0.0780113	0.232165
7  	458   	0.135743	0.0320493	0.0571905	0.224625
8  	434   	0.124472	0.0331251	0.0557224	0.204872
9  	426   	0.110347	0.0320027	0.0356356	0.202402
10 	428   	0.0982163	0.0309744	0.0326994	0.185118
11 	443   	0.0901109	0.0292184	0.0326326	0.165699
12 	431   	0.0850393	0.0295137	0.0325659	0.16977 
13 	425   	0.0791315	0.0283811	0.0325659	0.158892
14 	412   	0.0730535	0.0279222	0.031298 	0.142009
15 	415   	0.0690294	0.0283028	0.0308308	0.143744
16 	429   	0.0663386	0.0280757	0.0300968	0.153954
17 	456   	0.0677254	0.0287756	0.0300968	0.144211
18 	420   	0.0623203	0.0266245	0.0300968	0.138005
19 	443   	0.0620731	0.0260792	0.0298966	0.139406
20 	429   	0.0634117	0.0277042	0.0298966	0.120721
21 	433   	0.0588033	0.0247139	0.0297631	0.120387
22 	428   	0.0569554	0.0248292	0.0292292	0.118919
23 	442   	0.0552258	0.0234432	0.0288956	0.117784
24 	413   	0.0530407	0.0229806	0.0288956	0.118051
25 	438   	0.0524371	0.0218885	0.0285619	0.117451
26 	439   	0.0551385	0.0223957	0.0285619	0.116316
27 	433   	0.054266 	0.0225091	0.0285619	0.116517
28 	428   	0.0534558	0.0230191	0.0284284	0.116783
29 	412   	0.0521396	0.0225799	0.0284284	0.117518
30 	445   	0.0530884	0.0217941	0.0284284	0.116183
31 	443   	0.0545483	0.0229892	0.028028 	0.116183
32 	427   	0.053939 	0.0243158	0.028028 	0.136603
33 	452   	0.0567797	0.0244482	0.028028 	0.117117
34 	435   	0.0564348	0.0233649	0.028028 	0.117784
35 	441   	0.0562452	0.0230179	0.028028 	0.116383
36 	431   	0.0575865	0.0258012	0.028028 	0.138005
37 	447   	0.0562384	0.0237847	0.0279613	0.116316
38 	420   	0.053308 	0.0241612	0.0278278	0.117251
39 	429   	0.0535597	0.0232066	0.0278278	0.115782
40 	431   	0.0520242	0.0224673	0.0278278	0.116783
41 	427   	0.0527865	0.0235411	0.0277611	0.121722
42 	452   	0.0514659	0.0210959	0.0277611	0.114715
43 	422   	0.0522223	0.023655 	0.0277611	0.115649
44 	449   	0.0528226	0.0232621	0.0277611	0.136003
45 	446   	0.05072  	0.0222162	0.0277611	0.114982
46 	442   	0.0514723	0.0221967	0.0275609	0.115382
47 	429   	0.0511179	0.0224336	0.0275609	0.115649
48 	415   	0.0503921	0.0230889	0.0275609	0.115115
49 	433   	0.0492068	0.0212066	0.0274274	0.115048
50 	436   	0.0496644	0.0220474	0.0274274	0.115249
Loss of the best individual 0.02743
Loss: 0.02870, f1-score: 0.02934, acc: 0.02171
