gen	nevals	avg     	std      	min   	max    
0  	512   	0.611676	0.0954176	0.3376	0.81847
1  	430   	0.500896	0.0818517	0.292458	0.690889
2  	441   	0.434665	0.0726951	0.28365 	0.664189
3  	436   	0.392633	0.0749744	0.225709	0.584641
4  	453   	0.373761	0.0806662	0.207404	0.600606
5  	417   	0.339601	0.072419 	0.203688	0.579686
6  	451   	0.325762	0.0810256	0.19722 	0.59221 
7  	417   	0.314788	0.0809279	0.190201	0.578448
8  	420   	0.298297	0.0742679	0.185659	0.486513
9  	442   	0.289426	0.0780875	0.184558	0.521607
10 	447   	0.276875	0.0739882	0.182356	0.50523 
11 	421   	0.265783	0.0750885	0.174924	0.488302
12 	431   	0.260145	0.0717606	0.170933	0.497936
13 	419   	0.250417	0.0735703	0.170933	0.469447
14 	421   	0.235731	0.0654693	0.170933	0.416185
15 	427   	0.240167	0.0690706	0.17052 	0.45651 
16 	405   	0.233208	0.0674485	0.168593	0.450317
17 	435   	0.245914	0.0744235	0.168593	0.47798 
18 	430   	0.249657	0.0801463	0.168043	0.492843
19 	433   	0.240705	0.0722569	0.168043	0.480182
20 	434   	0.241297	0.0754568	0.16763 	0.477154
21 	430   	0.240722	0.0727587	0.16763 	0.453757
22 	441   	0.245115	0.0739955	0.166667	0.458437
23 	414   	0.235993	0.073541 	0.166667	0.465593
24 	427   	0.23759 	0.0791465	0.166667	0.484999
25 	424   	0.232611	0.0686705	0.166667	0.462841
26 	430   	0.24009 	0.0741313	0.165428	0.484723
27 	419   	0.236196	0.0736455	0.165428	0.485824
28 	421   	0.231736	0.0674046	0.165428	0.42169 
29 	424   	0.236175	0.0730424	0.165015	0.466832
30 	421   	0.229864	0.0707758	0.165015	0.468759
31 	436   	0.238873	0.0721458	0.165015	0.47275 
32 	429   	0.238276	0.075805 	0.165015	0.465593
33 	414   	0.233894	0.0701933	0.164878	0.452519
34 	438   	0.239482	0.0760681	0.16474 	0.48376 
35 	443   	0.241219	0.0755089	0.164327	0.473576
36 	443   	0.23265 	0.0707283	0.164052	0.458574
37 	430   	0.234999	0.0711461	0.164052	0.483485
38 	425   	0.232761	0.0743069	0.163776	0.475502
39 	431   	0.232922	0.0726182	0.162813	0.466694
40 	443   	0.237076	0.0740067	0.162813	0.469447
41 	409   	0.231366	0.0719305	0.162813	0.465868
42 	414   	0.224946	0.0664396	0.162675	0.450729
43 	426   	0.233172	0.0704867	0.162675	0.469722
44 	436   	0.230658	0.0686089	0.162675	0.449491
45 	431   	0.223597	0.064766 	0.162675	0.418387
46 	439   	0.224639	0.065605 	0.162675	0.426232
47 	422   	0.221653	0.0634477	0.162675	0.419901
48 	434   	0.21643 	0.059577 	0.162125	0.431462
49 	427   	0.222612	0.0683861	0.162125	0.453895
50 	440   	0.225309	0.0654622	0.162125	0.430773
Loss of the best individual 0.16212
Loss: 0.17349, f1-score: 0.14277, acc: 0.09281
