gen	nevals	avg     	std      	min     	max     
0  	512   	0.605628	0.0963893	0.339114	0.820534
1  	426   	0.492667	0.0759052	0.290256	0.673823
2  	428   	0.425719	0.0742708	0.260804	0.637903
3  	448   	0.392731	0.0752645	0.214148	0.599917
4  	441   	0.380196	0.0805122	0.205753	0.585054
5  	447   	0.357836	0.0844137	0.200936	0.581751
6  	438   	0.321408	0.0786909	0.197358	0.531241
7  	459   	0.31068 	0.0803363	0.192403	0.534544
8  	415   	0.295278	0.0778682	0.186623	0.52436 
9  	431   	0.288842	0.080957 	0.182631	0.515001
10 	441   	0.279762	0.076962 	0.181255	0.498073
11 	446   	0.279364	0.0828395	0.180154	0.5545  
12 	428   	0.280346	0.0908781	0.178503	0.546105
13 	445   	0.272085	0.0819313	0.177952	0.540738
14 	432   	0.265227	0.0779443	0.177539	0.488302
15 	424   	0.262863	0.0801127	0.177539	0.482659
16 	414   	0.254539	0.078012 	0.173961	0.51569 
17 	432   	0.264125	0.078246 	0.173961	0.483485
18 	427   	0.271553	0.0864835	0.173135	0.5139  
19 	442   	0.2629  	0.0803971	0.17286 	0.5     
20 	436   	0.264383	0.0876303	0.17286 	0.519405
21 	420   	0.271156	0.0860881	0.17286 	0.509221
22 	437   	0.274206	0.0941108	0.171897	0.582714
23 	434   	0.261854	0.0835743	0.171897	0.537572
24 	413   	0.254371	0.0793268	0.171897	0.488026
25 	451   	0.262038	0.0798416	0.171208	0.478117
26 	428   	0.250337	0.0765254	0.171208	0.492155
27 	432   	0.252151	0.0810441	0.171208	0.495458
28 	443   	0.256652	0.0855883	0.171208	0.507157
29 	431   	0.254419	0.0814214	0.16763 	0.507982
30 	429   	0.251737	0.08035  	0.16763 	0.478117
31 	424   	0.247949	0.0831924	0.16763 	0.499862
32 	438   	0.256743	0.0815526	0.167492	0.504129
33 	424   	0.248371	0.0825103	0.167492	0.494082
34 	436   	0.250879	0.0805314	0.167492	0.490366
35 	431   	0.235716	0.0718987	0.167492	0.470823
36 	419   	0.229694	0.0719694	0.167492	0.480457
37 	419   	0.236259	0.0746274	0.167492	0.429535
38 	415   	0.235746	0.0753499	0.167355	0.472062
39 	417   	0.225554	0.0694767	0.167355	0.458437
40 	427   	0.234146	0.0740595	0.166804	0.500275
41 	433   	0.242522	0.0764863	0.166804	0.488439
42 	427   	0.235762	0.0786232	0.166529	0.496835
43 	423   	0.228092	0.0716441	0.166529	0.465456
44 	406   	0.228227	0.0760767	0.166529	0.487751
45 	415   	0.225702	0.0665232	0.166254	0.467107
46 	441   	0.22942 	0.0704255	0.165153	0.436967
47 	437   	0.226976	0.0663788	0.16474 	0.425681
48 	434   	0.228764	0.0694527	0.16474 	0.410955
49 	438   	0.229882	0.071486 	0.164602	0.450317
50 	420   	0.225639	0.0693076	0.163776	0.454445
Loss of the best individual 0.16378
Loss: 0.16499, f1-score: 0.17736, acc: 0.13127
