gen	nevals	avg     	std     	min     	max     
0  	512   	0.611535	0.094654	0.346683	0.811038
1  	429   	0.509044	0.076967	0.283375	0.704239
2  	441   	0.445566	0.0820193	0.24071 	0.674649
3  	426   	0.392071	0.0776153	0.204239	0.591935
4  	445   	0.356509	0.0801731	0.199009	0.568126
5  	435   	0.330112	0.0832738	0.195431	0.55629 
6  	433   	0.307267	0.0824683	0.188687	0.529865
7  	438   	0.292082	0.0796623	0.184008	0.501239
8  	407   	0.280631	0.0824546	0.181668	0.495734
9  	440   	0.271182	0.0754226	0.179191	0.482108
10 	438   	0.273159	0.0802115	0.178778	0.499725
11 	437   	0.264103	0.076662 	0.177402	0.498624
12 	417   	0.255546	0.078233 	0.174787	0.486925
13 	425   	0.246056	0.0760966	0.174787	0.480595
14 	409   	0.244688	0.0742788	0.174787	0.470548
15 	435   	0.241703	0.0728282	0.17052 	0.470548
16 	423   	0.23772 	0.070635 	0.169282	0.481007
17 	425   	0.237386	0.0712828	0.169006	0.458712
18 	447   	0.233684	0.0644892	0.168869	0.428709
19 	414   	0.227479	0.0650539	0.167905	0.397743
20 	444   	0.2297  	0.0646914	0.167905	0.409304
21 	427   	0.228904	0.0670199	0.167905	0.434352
22 	444   	0.229416	0.0648912	0.16763 	0.415222
23 	403   	0.220847	0.0607664	0.16763 	0.425957
24 	435   	0.22296 	0.0636431	0.16763 	0.415497
25 	432   	0.219421	0.0616438	0.167492	0.409716
26 	418   	0.215446	0.057494 	0.167492	0.399119
27 	432   	0.216444	0.057973 	0.166942	0.393476
28 	433   	0.218379	0.0612518	0.166942	0.394577
29 	424   	0.215652	0.0603473	0.166942	0.393476
30 	442   	0.216306	0.0583433	0.166804	0.42926 
31 	437   	0.221038	0.0629156	0.166804	0.394302
32 	407   	0.213179	0.0603733	0.166804	0.388109
33 	436   	0.218876	0.0609027	0.166804	0.391137
34 	425   	0.217888	0.0611106	0.166804	0.394577
35 	426   	0.215338	0.0597316	0.166804	0.397881
36 	435   	0.214601	0.0579483	0.166804	0.393614
37 	431   	0.221097	0.0646885	0.166667	0.412056
38 	445   	0.221309	0.0622326	0.166667	0.394027
39 	436   	0.22648 	0.0636309	0.166667	0.41302 
40 	422   	0.219174	0.0639986	0.166529	0.422791
41 	424   	0.222065	0.0664813	0.166254	0.406413
42 	430   	0.218297	0.0631229	0.166254	0.418662
43 	438   	0.21914 	0.0624402	0.166254	0.405863
44 	443   	0.217246	0.0640126	0.166254	0.402697
45 	413   	0.217984	0.0637764	0.166254	0.396229
46 	444   	0.22004 	0.0635096	0.166254	0.401184
47 	446   	0.216904	0.0633421	0.165979	0.440683
48 	417   	0.209223	0.0566477	0.165979	0.393201
49 	427   	0.211659	0.057288 	0.165979	0.393476
50 	430   	0.211836	0.0582679	0.165841	0.408615
Loss of the best individual 0.16584
Loss: 0.17154, f1-score: 0.10560, acc: 0.08445
