gen	nevals	avg    	std      	min     	max    
0  	512   	0.61183	0.0945463	0.330168	0.81902
1  	416   	0.498404	0.0811449	0.290669	0.687999
2  	446   	0.422932	0.0820037	0.199147	0.63226 
3  	418   	0.361996	0.0763291	0.184558	0.563171
4  	438   	0.331926	0.0849447	0.184558	0.608175
5  	423   	0.299612	0.0811012	0.178915	0.525874
6  	456   	0.292158	0.0846847	0.177264	0.530966
7  	432   	0.263859	0.0776934	0.177264	0.485274
8  	450   	0.26569 	0.0789601	0.175612	0.483209
9  	436   	0.259476	0.0782116	0.17286 	0.506193
10 	435   	0.256054	0.0781454	0.172585	0.50234 
11 	437   	0.245353	0.0719279	0.172585	0.502753
12 	433   	0.245736	0.0709172	0.170107	0.467107
13 	415   	0.238675	0.0695629	0.169694	0.465456
14 	430   	0.236796	0.0701632	0.167905	0.428296
15 	423   	0.228564	0.0679285	0.167768	0.431462
16 	435   	0.238223	0.0703712	0.167768	0.465593
17 	409   	0.230312	0.0708992	0.164878	0.456647
18 	433   	0.234306	0.0727954	0.164878	0.461877
19 	436   	0.236287	0.0701894	0.164878	0.493256
20 	434   	0.247278	0.0772706	0.164052	0.483622
21 	461   	0.244283	0.0774184	0.161712	0.501652
22 	431   	0.232181	0.0714213	0.161712	0.422241
23 	448   	0.230346	0.0669521	0.161712	0.442885
24 	422   	0.230809	0.0727399	0.160611	0.460776
25 	450   	0.226349	0.0706694	0.160611	0.461464
26 	433   	0.222852	0.0688201	0.160611	0.423754
27 	433   	0.223771	0.0672204	0.160611	0.41123 
28 	442   	0.220782	0.0682701	0.160611	0.412056
29 	445   	0.224009	0.0704803	0.160473	0.434077
30 	441   	0.222883	0.0716278	0.160473	0.420864
31 	422   	0.213181	0.0624271	0.160198	0.404211
32 	405   	0.208725	0.06221  	0.160198	0.414258
33 	426   	0.217267	0.0673545	0.160198	0.434902
34 	426   	0.22143 	0.0709838	0.160198	0.425544
35 	429   	0.218206	0.0673941	0.159923	0.401459
36 	430   	0.225539	0.0727315	0.159923	0.435866
37 	408   	0.219657	0.0682429	0.159785	0.455684
38 	422   	0.224118	0.07054  	0.159785	0.451418
39 	429   	0.222843	0.0705063	0.15951 	0.410542
40 	448   	0.228855	0.0728241	0.159097	0.471098
41 	420   	0.225983	0.0738698	0.159097	0.468759
42 	432   	0.235044	0.0792976	0.159097	0.489678
43 	422   	0.226798	0.0757661	0.159097	0.496422
44 	434   	0.229829	0.0763308	0.158822	0.462152
45 	426   	0.221236	0.0666812	0.156345	0.417148
46 	434   	0.224384	0.0714099	0.156345	0.469722
47 	452   	0.222922	0.0695731	0.156345	0.453069
48 	424   	0.228604	0.0740982	0.156345	0.421828
49 	430   	0.229403	0.0768269	0.156345	0.467933
50 	442   	0.222581	0.0705674	0.156069	0.44082 
Loss of the best individual 0.15607
Loss: 0.16179, f1-score: 0.22562, acc: 0.15217
