gen	nevals	avg     	std      	min     	max     
0  	512   	0.500482	0.0107598	0.455952	0.538571
1  	428   	0.491489	0.0116268	0.454571	0.518286
2  	431   	0.482359	0.0148665	0.437714	0.516619
3  	413   	0.47394 	0.0173916	0.434667	0.515619
4  	427   	0.468599	0.0208038	0.419286	0.525714
5  	429   	0.462362	0.0238783	0.392714	0.528429
6  	425   	0.453006	0.0271949	0.387524	0.518333
7  	444   	0.442138	0.0275464	0.376476	0.515524
8  	415   	0.430869	0.0276242	0.364952	0.509857
9  	412   	0.425243	0.0310652	0.364952	0.510333
10 	421   	0.417007	0.029804 	0.363429	0.510714
11 	430   	0.416131	0.0337436	0.359429	0.512333
12 	426   	0.4092  	0.0316861	0.357619	0.502333
13 	432   	0.406312	0.0344686	0.342333	0.50581 
14 	430   	0.39928 	0.0313827	0.342333	0.493571
15 	420   	0.396413	0.0342008	0.335476	0.497905
16 	437   	0.3907  	0.0322249	0.333571	0.492714
17 	436   	0.383997	0.0314118	0.323571	0.481095
18 	434   	0.377641	0.0311826	0.323381	0.462857
19 	442   	0.372934	0.0311092	0.299524	0.46119 
20 	431   	0.365746	0.0313959	0.299524	0.45081 
21 	400   	0.357807	0.0302463	0.299524	0.445381
22 	425   	0.356395	0.0326505	0.299524	0.467667
23 	435   	0.352916	0.0308411	0.299524	0.444381
24 	430   	0.354176	0.033371 	0.299524	0.449143
25 	426   	0.3529  	0.0335057	0.293429	0.445143
26 	436   	0.351815	0.0351291	0.293429	0.459762
27 	419   	0.352269	0.0373278	0.292143	0.444476
28 	443   	0.350645	0.0366084	0.290476	0.455333
29 	404   	0.349452	0.0382856	0.290476	0.447333
30 	427   	0.35166 	0.0407997	0.290476	0.460857
31 	417   	0.350092	0.0403953	0.288619	0.445762
32 	440   	0.353966	0.0429682	0.288619	0.460667
33 	399   	0.344806	0.0427359	0.286238	0.452429
34 	448   	0.351366	0.0424271	0.286238	0.47181 
35 	437   	0.350618	0.0419238	0.286238	0.465952
36 	417   	0.346459	0.0410272	0.286238	0.451571
37 	407   	0.345176	0.0425044	0.286238	0.463857
38 	441   	0.346603	0.0430971	0.283762	0.453333
39 	432   	0.344365	0.0414055	0.279143	0.44419 
40 	427   	0.346293	0.0441699	0.275429	0.485143
41 	441   	0.345029	0.0460005	0.271619	0.476476
42 	419   	0.342408	0.0427292	0.271619	0.447286
43 	433   	0.342051	0.0431506	0.271619	0.450857
44 	435   	0.343254	0.0461524	0.271619	0.469   
45 	422   	0.338376	0.0421651	0.271619	0.441286
46 	445   	0.341182	0.042341 	0.271619	0.441667
47 	430   	0.339633	0.0433528	0.271619	0.44519 
48 	421   	0.337708	0.0454147	0.271619	0.460952
49 	433   	0.340036	0.0453601	0.271476	0.44281 
50 	406   	0.339734	0.0497916	0.271476	0.47381 
Loss of the best individual 0.27148
Loss: 0.26710, f1-score: 0.27831, acc: 0.01745
