gen	nevals	avg     	std      	min  	max     
0  	512   	0.500546	0.0100598	0.466	0.540429
1  	418   	0.491626	0.00936682	0.456143	0.514143
2  	430   	0.484699	0.0127655 	0.443238	0.51681 
3  	438   	0.477447	0.0161915 	0.433667	0.52319 
4  	426   	0.470662	0.0186506 	0.425905	0.518857
5  	431   	0.464972	0.0202817 	0.422571	0.517571
6  	431   	0.457722	0.0223782 	0.405476	0.523476
7  	438   	0.452415	0.024327  	0.405476	0.511095
8  	429   	0.445878	0.0254907 	0.391524	0.521238
9  	449   	0.441849	0.0272317 	0.381524	0.524095
10 	436   	0.435939	0.0280559 	0.374952	0.521143
11 	435   	0.432625	0.0311965 	0.374952	0.521429
12 	422   	0.423872	0.0306855 	0.364   	0.510762
13 	445   	0.42208 	0.0316272 	0.362667	0.517143
14 	436   	0.413844	0.0325215 	0.353286	0.507   
15 	432   	0.411654	0.034289  	0.349381	0.508524
16 	439   	0.408755	0.0343699 	0.348286	0.498524
17 	455   	0.40795 	0.0368792 	0.344524	0.524667
18 	428   	0.402167	0.0380617 	0.344524	0.509381
19 	427   	0.392221	0.0337124 	0.341   	0.498286
20 	437   	0.385841	0.0328185 	0.329095	0.492095
21 	434   	0.385825	0.0341405 	0.329095	0.475429
22 	428   	0.383077	0.0332109 	0.322714	0.477238
23 	452   	0.388457	0.0374665 	0.309952	0.472952
24 	430   	0.377665	0.0354976 	0.309952	0.472095
25 	419   	0.373504	0.0384642 	0.309952	0.478619
26 	439   	0.36443 	0.0356028 	0.307095	0.470286
27 	418   	0.354844	0.0346976 	0.301762	0.454048
28 	408   	0.352295	0.0340632 	0.301762	0.45181 
29 	427   	0.351875	0.0361623 	0.296762	0.454333
30 	420   	0.34778 	0.0353973 	0.296762	0.462381
31 	422   	0.348311	0.0373107 	0.29519 	0.464476
32 	424   	0.344583	0.0366762 	0.294095	0.448619
33 	423   	0.344108	0.036862  	0.292381	0.448524
34 	446   	0.34443 	0.0369968 	0.28819 	0.445238
35 	445   	0.346199	0.0369491 	0.28819 	0.441762
36 	439   	0.345241	0.0385053 	0.28819 	0.447048
37 	440   	0.341496	0.0351885 	0.28819 	0.451619
38 	421   	0.341303	0.0387754 	0.28819 	0.45781 
39 	417   	0.337698	0.0389334 	0.281524	0.441095
40 	410   	0.330117	0.0368433 	0.281524	0.439714
41 	439   	0.329744	0.0358381 	0.281524	0.424429
42 	439   	0.328292	0.0346988 	0.281524	0.427333
43 	429   	0.325746	0.0351138 	0.281524	0.415762
44 	429   	0.323404	0.0335484 	0.280857	0.413143
45 	445   	0.323105	0.0336691 	0.280857	0.43419 
46 	442   	0.324468	0.0350057 	0.280857	0.424476
47 	450   	0.329303	0.0349464 	0.280857	0.423381
48 	439   	0.325073	0.0342864 	0.280857	0.43019 
49 	432   	0.328054	0.0360134 	0.28081 	0.423619
50 	429   	0.324951	0.034405  	0.280619	0.417952
Loss of the best individual 0.28062
Loss: 0.28377, f1-score: 0.22095, acc: 0.03490
