gen	nevals	avg     	std      	min     	max    
0  	512   	0.499975	0.0105043	0.460095	0.54281
1  	448   	0.49127 	0.0115549	0.446762	0.52019
2  	432   	0.481444	0.0148755	0.438619	0.519476
3  	421   	0.47272 	0.0183594	0.429714	0.521429
4  	411   	0.466031	0.0213798	0.40781 	0.52219 
5  	423   	0.457285	0.0230138	0.401571	0.509429
6  	436   	0.450571	0.0275268	0.392762	0.516238
7  	425   	0.438129	0.0289259	0.373571	0.520333
8  	428   	0.429402	0.0286646	0.371571	0.500429
9  	420   	0.419676	0.0315606	0.35981 	0.508619
10 	442   	0.408892	0.029059 	0.353619	0.489762
11 	435   	0.401842	0.031057 	0.345619	0.500714
12 	435   	0.397152	0.029507 	0.345619	0.485619
13 	437   	0.390773	0.0293376	0.333   	0.488   
14 	433   	0.385657	0.0302596	0.333   	0.476095
15 	432   	0.374767	0.0276121	0.318619	0.448762
16 	432   	0.371586	0.028143 	0.318619	0.451048
17 	415   	0.366817	0.0273389	0.318571	0.44319 
18 	437   	0.366665	0.0294153	0.309333	0.44419 
19 	437   	0.364993	0.0302669	0.308048	0.447857
20 	441   	0.361095	0.0301934	0.308048	0.447238
21 	438   	0.359164	0.0316833	0.296952	0.452857
22 	453   	0.354025	0.0305098	0.292048	0.44681 
23 	403   	0.349496	0.0340171	0.292048	0.449   
24 	431   	0.34623 	0.0327664	0.282857	0.436952
25 	419   	0.340004	0.0334575	0.282857	0.432714
26 	424   	0.331936	0.032496 	0.267476	0.426714
27 	439   	0.332999	0.033503 	0.267476	0.428381
28 	425   	0.328012	0.0337776	0.267476	0.427333
29 	414   	0.325064	0.0337635	0.267476	0.426   
30 	415   	0.323373	0.0356092	0.261905	0.427524
31 	413   	0.319752	0.0336184	0.261905	0.415952
32 	428   	0.321569	0.0375917	0.261905	0.436524
33 	418   	0.31934 	0.0367598	0.261905	0.420952
34 	443   	0.320351	0.037312 	0.261905	0.424905
35 	441   	0.317855	0.0374874	0.26181 	0.416   
36 	407   	0.313477	0.039498 	0.261238	0.421333
37 	435   	0.313614	0.0370631	0.260429	0.414476
38 	427   	0.308629	0.0360896	0.259571	0.403714
39 	438   	0.31416 	0.0382392	0.259571	0.417381
40 	436   	0.312324	0.0376017	0.259571	0.418333
41 	412   	0.310411	0.0378684	0.258333	0.410048
42 	441   	0.309416	0.0345356	0.258333	0.407857
43 	431   	0.311113	0.0370843	0.258333	0.409048
44 	422   	0.306679	0.03648  	0.257952	0.399714
45 	414   	0.303994	0.0358046	0.257952	0.424714
46 	436   	0.308301	0.0398427	0.257952	0.424095
47 	439   	0.304494	0.0346308	0.255762	0.402524
48 	421   	0.302603	0.0379673	0.255762	0.414   
49 	430   	0.300052	0.0336914	0.255762	0.400381
50 	448   	0.303593	0.0353517	0.255762	0.421143
Loss of the best individual 0.25576
Loss: 0.25347, f1-score: 0.26601, acc: 0.00545
