gen	nevals	avg     	std     	min     	max     
0  	512   	0.499922	0.010549	0.452619	0.534429
1  	417   	0.490641	0.0120169	0.452619	0.519333
2  	409   	0.482514	0.0154063	0.434952	0.519762
3  	434   	0.473243	0.019035 	0.423286	0.525857
4  	449   	0.464263	0.0218974	0.408857	0.521429
5  	439   	0.456214	0.0238993	0.38919 	0.51581 
6  	420   	0.446607	0.0260488	0.375857	0.512762
7  	431   	0.440414	0.0295944	0.373381	0.518   
8  	416   	0.428368	0.0282261	0.35719 	0.499619
9  	422   	0.421374	0.0335446	0.352333	0.51219 
10 	411   	0.408592	0.0351124	0.34381 	0.502571
11 	441   	0.401806	0.035982 	0.34381 	0.509667
12 	435   	0.391008	0.0334517	0.336476	0.489857
13 	425   	0.387866	0.0360293	0.323238	0.498714
14 	436   	0.382837	0.0349515	0.321762	0.505714
15 	436   	0.380301	0.0357828	0.307429	0.493238
16 	431   	0.371888	0.0349297	0.303143	0.475905
17 	425   	0.362642	0.0309891	0.303143	0.44619 
18 	434   	0.363653	0.0357738	0.303143	0.464905
19 	433   	0.355619	0.0325929	0.295524	0.444238
20 	424   	0.350449	0.033516 	0.290048	0.452333
21 	417   	0.34823 	0.0355819	0.290048	0.444429
22 	409   	0.335431	0.0316079	0.283905	0.428238
23 	431   	0.329219	0.0306237	0.283905	0.415048
24 	411   	0.324483	0.0304177	0.282667	0.411   
25 	412   	0.322637	0.0323292	0.27919 	0.405952
26 	434   	0.319971	0.0311132	0.276619	0.422095
27 	421   	0.316121	0.0294572	0.276619	0.398333
28 	420   	0.315887	0.0300985	0.276619	0.400857
29 	432   	0.316336	0.0323404	0.264238	0.413381
30 	439   	0.315505	0.0336415	0.261857	0.414476
31 	423   	0.313839	0.032851 	0.261857	0.417905
32 	423   	0.311469	0.0321072	0.261857	0.397476
33 	422   	0.310572	0.0348934	0.260762	0.412381
34 	432   	0.31321 	0.0358518	0.260762	0.407048
35 	435   	0.314616	0.0356942	0.260762	0.412   
36 	406   	0.31534 	0.0375664	0.260762	0.415667
37 	444   	0.315577	0.0383657	0.259143	0.413857
38 	430   	0.315586	0.0376355	0.259143	0.406143
39 	442   	0.315753	0.0391459	0.259143	0.415   
40 	423   	0.31344 	0.0395389	0.257429	0.409381
41 	435   	0.311229	0.0380029	0.257429	0.421238
42 	430   	0.312066	0.0383145	0.244048	0.422714
43 	437   	0.312273	0.0404819	0.244048	0.42    
44 	455   	0.311425	0.0392995	0.24181 	0.416333
45 	418   	0.305762	0.0425373	0.24181 	0.418762
46 	408   	0.292999	0.0372426	0.240762	0.38819 
47 	428   	0.282028	0.0345149	0.23981 	0.390048
48 	429   	0.279521	0.0310954	0.23981 	0.366429
49 	431   	0.276233	0.0299793	0.23981 	0.365667
50 	409   	0.278511	0.0351818	0.239762	0.395714
Loss of the best individual 0.23976
Loss: 0.24022, f1-score: 0.22166, acc: 0.01527
